Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-06-11,13:00:00,H,6,0,0
2025-06-11,13:00:00,M,6,0,0
2025-06-12,13:00:00,H!,6,0,0
2025-06-13,13:00:00,WBD,6,0,0
2025-06-13,13:00:00,M,6,0,0
2025-06-14,13:00:00,H,6,0,0
2025-06-14,13:00:00,WBD,6,0,0
2025-06-15,13:00:00,M,6,0,0
2025-06-15,13:00:00,H,6,0,0
2025-06-16,13:00:00,H,6,0,0
2025-06-16,13:00:00,P,6,0,0
2025-06-17,13:00:00,H!,6,0,0
2025-06-18,13:00:00,H,6,0,0
2025-06-18,13:00:00,WBD,6,0,0
2025-06-19,13:00:00,H,6,0,0
2025-06-19,13:00:00,WBD,6,0,0
2025-06-20,13:00:00,H!,6,0,0
2025-06-21,13:00:00,H,6,0,0
2025-06-22,13:00:00,H,6,0,0
2025-06-22,13:00:00,WBD,6,0,0
2025-06-22,13:00:00,P,6,0,0
2025-06-23,13:00:00,H,6,0,0
2025-06-24,13:00:00,M,6,0,0
2025-06-24,13:00:00,H,6,0,0
2025-06-24,13:00:00,P,6,0,0
2025-06-25,13:00:00,H,6,0,0
2025-06-26,13:00:00,H,6,0,0
2025-06-26,13:00:00,WBD,6,0,0
2025-06-26,13:00:00,P,6,0,0
2025-06-27,13:00:00,H,6,0,0
2025-06-27,13:00:00,M,6,0,0
2025-06-27,13:00:00,WBD,6,0,0
2025-06-28,13:00:00,H!,6,0,0
2025-06-29,13:00:00,H!,6,0,0
2025-06-30,13:00:00,H,6,0,0
2025-06-30,13:00:00,WBD,6,0,0
2025-06-01,14:00:00,PRIVATE,6,0,1
2025-06-02,14:00:00,CANCELLED,6,1,0
2025-06-03,14:00:00,CANCELLED,6,1,0
2025-06-04,14:00:00,CANCELLED,6,1,0
2025-06-05,14:00:00,CANCELLED,6,1,0
2025-06-06,14:00:00,CANCELLED,6,1,0
2025-06-07,14:00:00,H,6,0,0
2025-06-07,14:00:00,M,6,0,0
2025-06-07,14:00:00,WBD,6,0,0
2025-06-08,14:00:00,H,6,0,0
2025-06-09,14:00:00,PRIVATE,6,0,1
2025-06-10,14:00:00,H,6,0,0
2025-06-11,14:00:00,CANCELLED,6,1,0
2025-06-12,14:00:00,PRIVATE,6,0,1
2025-06-13,14:00:00,WBH,6,0,0
2025-06-13,14:00:00,H,6,0,0
2025-06-14,14:00:00,PRIVATE,6,0,1
2025-06-15,14:00:00,H,6,0,0
2025-06-16,14:00:00,H,6,0,0
2025-06-17,14:00:00,PRIVATE,6,0,1
2025-06-18,14:00:00,H,6,0,0
2025-06-18,14:00:00,M,6,0,0
2025-06-18,14:00:00,WBD,6,0,0
2025-06-19,14:00:00,H,6,0,0
2025-06-19,14:00:00,WBD,6,0,0
2025-06-20,14:00:00,PRIVATE,6,0,1
2025-06-21,14:00:00,PRIVATE,6,0,1
2025-06-22,14:00:00,H,6,0,0
2025-06-22,14:00:00,WBD,6,0,0
2025-06-23,14:00:00,H,6,0,0
2025-06-24,14:00:00,H,6,0,0
2025-06-25,14:00:00,H,6,0,0
2025-06-25,14:00:00,WBD,6,0,0
2025-06-26,14:00:00,PRIVATE,6,0,1
2025-06-27,14:00:00,PRIVATE,6,0,1
2025-06-28,14:00:00,PRIVATE,6,0,1
2025-06-29,14:00:00,PRIVATE,6,0,1
2025-06-30,14:00:00,PRIVATE,6,0,1
2025-06-01,17:00:00,PRIVATE,6,0,1
2025-06-02,17:00:00,CANCELLED,6,1,0
2025-06-03,17:00:00,CANCELLED,6,1,0
2025-06-04,17:00:00,CANCELLED,6,1,0
2025-06-05,17:00:00,H,6,0,0
2025-06-06,17:00:00,H,6,0,0
2025-06-07,17:00:00,H,6,0,0
2025-06-07,17:00:00,M,6,0,0
2025-06-07,17:00:00,WBD,6,0,0
2025-06-08,17:00:00,H,6,0,0
2025-06-08,17:00:00,WBD,6,0,0
2025-06-09,17:00:00,H!,6,0,0
2025-06-10,17:00:00,H,6,0,0
2025-06-11,17:00:00,WBD,6,0,0
2025-06-11,17:00:00,H,6,0,0
2025-06-12,17:00:00,PRIVATE,6,0,1
2025-06-13,17:00:00,H,6,0,0
2025-06-14,17:00:00,PRIVATE,6,0,1
2025-06-15,17:00:00,H,6,0,0
2025-06-15,17:00:00,WBD,6,0,0
2025-06-16,17:00:00,H,6,0,0
2025-06-16,17:00:00,WBD,6,0,0
2025-06-17,17:00:00,PRIVATE,6,0,1
2025-06-18,17:00:00,H,6,0,0
2025-06-18,17:00:00,H!,6,0,0
2025-06-18,17:00:00,M,6,0,0
2025-06-19,17:00:00,H,6,0,0
2025-06-20,17:00:00,H,6,0,0
2025-06-20,17:00:00,P,6,0,0
2025-06-21,17:00:00,CANCELLED,6,1,0
2025-06-22,17:00:00,PRIVATE,6,0,1
2025-06-23,17:00:00,PRIVATE,6,0,1
2025-06-24,17:00:00,H,6,0,0
2025-06-24,17:00:00,WBD,6,0,0
2025-06-25,17:00:00,H,6,0,0
2025-06-25,17:00:00,WBD,6,0,0
2025-06-26,17:00:00,H,6,0,0
2025-06-26,17:00:00,M,6,0,0
2025-06-26,17:00:00,WBD,6,0,0
2025-06-26,17:00:00,P,6,0,0
